央卫,#genre#
CCTV1,http://148.135.93.213/live.php?id=CCTV1
CCTV2,http://148.135.93.213/live.php?id=CCTV2
CCTV3,http://148.135.93.213/live.php?id=CCTV3
CCTV4,http://148.135.93.213/live.php?id=CCTV4
CCTV5,http://148.135.93.213/live.php?id=CCTV5
CCTV5+,http://148.135.93.213/live.php?id=CCTV5p
CCTV6,http://148.135.93.213/live.php?id=CCTV6
CCTV7,http://148.135.93.213/live.php?id=CCTV7
CCTV8,http://148.135.93.213/live.php?id=CCTV8
CCTV9,http://148.135.93.213/live.php?id=CCTV9
CCTV10,http://148.135.93.213/live.php?id=CCTV10
CCTV11,http://148.135.93.213/live.php?id=CCTV11
CCTV12,http://148.135.93.213/live.php?id=CCTV12
CCTV13,http://148.135.93.213/live.php?id=CCTV13
CCTV14,http://148.135.93.213/live.php?id=CCTV14
CCTV15,http://148.135.93.213/live.php?id=CCTV15
CCTV16,http://148.135.93.213/live.php?id=CCTV16
CCTV17,http://148.135.93.213/live.php?id=CCTV17
广东卫视,http://148.135.93.213/live.php?id=广东卫视
东方卫视,http://148.135.93.213/live.php?id=东方卫视
东南卫视,http://148.135.93.213/live.php?id=东南卫视
辽宁卫视,http://148.135.93.213/live.php?id=辽宁卫视
深圳卫视,http://148.135.93.213/live.php?id=深圳卫视
天津卫视,http://148.135.93.213/live.php?id=天津卫视
安徽卫视,http://148.135.93.213/live.php?id=安徽卫视
河北卫视,http://148.135.93.213/live.php?id=河北卫视
重庆卫视,http://148.135.93.213/live.php?id=重庆卫视
吉林卫视,http://148.135.93.213/live.php?id=吉林卫视
黑龙江卫视,http://148.135.93.213/live.php?id=黑龙江卫视
山东卫视,http://148.135.93.213/live.php?id=山东卫视
海南卫视,http://148.135.93.213/live.php?id=海南卫视
贵州卫视,http://148.135.93.213/live.php?id=贵州卫视
湖北卫视,http://148.135.93.213/live.php?id=湖北卫视
河南卫视,http://148.135.93.213/live.php?id=河南卫视
广西卫视,http://148.135.93.213/live.php?id=广西卫视
江西卫视,http://148.135.93.213/live.php?id=江西卫视
陕西卫视,http://148.135.93.213/live.php?id=陕西卫视
宁夏卫视,http://148.135.93.213/live.php?id=宁夏卫视
内蒙古卫视,http://148.135.93.213/live.php?id=内蒙古卫视
西藏卫视,http://148.135.93.213/live.php?id=西藏卫视
四川卫视,http://148.135.93.213/live.php?id=四川卫视
山西卫视,http://148.135.93.213/live.php?id=山西卫视
甘肃卫视,http://148.135.93.213/live.php?id=甘肃卫视
新疆卫视,http://148.135.93.213/live.php?id=新疆卫视
青海卫视,http://148.135.93.213/live.php?id=青海卫视
延边卫视,http://148.135.93.213/live.php?id=延边卫视
兵团卫视,http://148.135.93.213/live.php?id=兵团卫视
山东教育,http://148.135.93.213/live.php?id=山东教育
北京科教纪实,http://148.135.93.213/live.php?id=北京科教纪实
北京卡酷少儿,http://148.135.93.213/live.php?id=北京卡酷少儿
CETV1,http://148.135.93.213/live.php?id=CETV1
CETV2,http://148.135.93.213/live.php?id=CETV2
CETV4,http://148.135.93.213/live.php?id=CETV4
金鹰卡通,http://148.135.93.213/live.php?id=金鹰卡通
哈哈炫动,http://148.135.93.213/live.php?id=哈哈炫动
优漫卡通,http://148.135.93.213/live.php?id=优漫卡通
